Doi,Novelty,Year
10.1371/journal.pone.0040928,-7.410220129958249,2012
10.1371/journal.pone.0040933,-10.213136866688956,2012
10.1371/journal.pone.0043484,2.335690554189585,2012
10.1371/journal.pone.0030722,-7.926267087989205,2012
10.1371/journal.pone.0040943,-6.775080378096571,2012
10.1371/journal.pone.0035832,-8.812013601351692,2012
10.1371/journal.pone.0033279,-7.115421113463648,2012
10.1371/journal.pone.0035834,-7.410220129958248,2012
10.1371/journal.pone.0035838,-6.901326308844617,2012
10.1371/journal.pone.0035843,-6.739910532070903,2012
10.1371/journal.pone.0030744,-7.581438210641405,2012
10.1371/journal.pone.0030748,-8.130688655642599,2012
10.1371/journal.pone.0030753,-7.105336052478916,2012
10.1371/journal.pone.0033312,-7.981350246265231,2012
10.1371/journal.pone.0035866,-9.143695095079195,2012
10.1371/journal.pone.0040977,-6.7595635661441245,2012
10.1371/journal.pone.0033315,-7.305846069526704,2012
10.1371/journal.pone.0038428,-7.77274894261029,2012
10.1371/journal.pone.0046089,5.502291705853724,2012
10.1371/journal.pone.0030770,-8.5665715305375,2012
10.1371/journal.pone.0030771,-6.820793726564615,2012
10.1371/journal.pone.0030773,-7.361355704896946,2012
10.1371/journal.pone.0035884,-9.201506951211831,2012
10.1371/journal.pone.0038448,-7.305846069526704,2012
10.1371/journal.pone.0030794,-8.984450939530044,2012
10.1371/journal.pone.0033349,-7.410220129958249,2012
10.1371/journal.pone.0041021,-10.142562201175974,2012
10.1371/journal.pone.0043573,164.42266483854053,2012
10.1371/journal.pone.0046131,-11.461559754752612,2012
10.1371/journal.pone.0041032,-7.638920960289459,2012
10.1371/journal.pone.0035921,-9.735274909202914,2012
10.1371/journal.pone.0030831,-7.308915544126959,2012
10.1371/journal.pone.0033385,-7.658286965384937,2012
10.1371/journal.pone.0030836,-7.107087839907125,2012
10.1371/journal.pone.0041054,-7.305846069526704,2012
10.1371/journal.pone.0038500,-7.410220129958248,2012
10.1371/journal.pone.0030849,-7.260161338711311,2012
10.1371/journal.pone.0030851,-7.5440320359391695,2012
10.1371/journal.pone.0035957,-7.152260066124313,2012
10.1371/journal.pone.0041071,-10.141446953046064,2012
10.1371/journal.pone.0035966,-7.410220129958249,2012
10.1371/journal.pone.0038531,-6.970795222809589,2012
10.1371/journal.pone.0038541,-9.488267987771025,2012
10.1371/journal.pone.0046201,-7.973965560521224,2012
10.1371/journal.pone.0046202,-9.612637113489756,2012
10.1371/journal.pone.0048778,-11.605351010458367,2012
10.1371/journal.pone.0033446,-7.097931070159481,2012
10.1371/journal.pone.0033449,-6.959436075649298,2012
10.1371/journal.pone.0036006,-8.558349988522048,2012
10.1371/journal.pone.0030901,-7.471260213491348,2012
10.1371/journal.pone.0038562,-8.711169856254525,2012
10.1371/journal.pone.0036009,-7.985431941208393,2012
10.1371/journal.pone.0051457,4.667954381407284,2012
10.1371/journal.pone.0036013,-8.984450939530044,2012
10.1371/journal.pone.0030917,-6.762058299710192,2012
10.1371/journal.pone.0030918,-7.003084787740077,2012
10.1371/journal.pone.0033470,-7.503839715027738,2012
10.1371/journal.pone.0030933,-8.984450939530044,2012
10.1371/journal.pone.0036040,-8.480109393481786,2012
10.1371/journal.pone.0038600,-10.516204219256222,2012
10.1371/journal.pone.0036046,-7.410220129958249,2012
10.1371/journal.pone.0041170,-9.413999815651556,2012
10.1371/journal.pone.0041175,-7.471260213491348,2012
10.1371/journal.pone.0041182,-9.19806772850664,2012
10.1371/journal.pone.0038640,-7.180143409513183,2012
10.1371/journal.pone.0041201,-7.516661015060511,2012
10.1371/journal.pcbi.1002756,-6.976609262846903,2012
10.1371/journal.pone.0036093,-7.744758739975171,2012
10.1371/journal.pone.0030991,13.335897189396514,2012
10.1371/journal.pone.0033542,-6.864629128656893,2012
10.1371/journal.pone.0033544,-7.440406976855186,2012
10.1371/journal.pone.0051553,-6.752641878317139,2012
10.1371/journal.pone.0038657,-10.524773317740024,2012
10.1371/journal.pone.0048888,-7.578348026765559,2012
10.1371/journal.pone.0036103,-8.754129103987994,2012
10.1371/journal.pone.0043765,70.62171097517664,2012
10.1371/journal.pone.0038665,-8.255678521001027,2012
10.1371/journal.pone.0038670,-11.797646400554212,2012
10.1371/journal.pone.0033562,-7.3689320075156814,2012
10.1371/journal.pone.0033565,-9.136862953260762,2012
10.1371/journal.pone.0041231,-8.024429695278888,2012
10.1371/journal.pone.0041253,-7.916485340285545,2012
10.1371/journal.pone.0041255,-9.672372601947767,2012
10.1371/journal.pone.0036146,-8.984450939530044,2012
10.1371/journal.pone.0051614,19.79958108579601,2012
10.1371/journal.pone.0036151,-10.444660884874718,2012
10.1371/journal.pone.0036162,-8.733804625659783,2012
10.1371/journal.pone.0041277,-8.480109393481786,2012
10.1371/journal.pone.0038724,-7.74173798819192,2012
10.1371/journal.pone.0033615,-11.695837722190165,2012
10.1371/journal.pone.0038730,-8.774984632287648,2012
10.1371/journal.pone.0041285,-7.6789842732480915,2012
10.1371/journal.pone.0033624,-7.205456636483362,2012
10.1371/journal.pone.0033627,-12.154974944551226,2012
10.1371/journal.pone.0033628,-7.015061973113563,2012
10.1371/journal.pone.0031085,-6.97324771906561,2012
10.1371/journal.pone.0041304,-7.503839715027738,2012
10.1371/journal.pone.0038751,-6.944769212621586,2012
10.1371/journal.pone.0033644,-7.32077523217316,2012
10.1371/journal.pone.0033650,-7.613508865259126,2012
10.1371/journal.pone.0038766,-7.833620251094308,2012
10.1371/journal.pone.0036212,-10.524773317740024,2012
10.1371/journal.pone.0031111,-9.951726443563802,2012
10.1371/journal.pone.0038770,-8.387412571589389,2012
10.1371/journal.pone.0041325,-6.818544539043518,2012
10.1371/journal.pone.0049005,-8.96061691540935,2012
10.1371/journal.pone.0036216,-7.956270130527709,2012
10.1371/journal.pone.0038776,-8.09833137367741,2012
10.1371/journal.pone.0041331,-7.115440733973283,2012
10.1371/journal.pone.0031122,-8.984450939530044,2012
10.1371/journal.pone.0038781,-7.664674264703973,2012
10.1371/journal.pone.0036229,-9.136862953260762,2012
10.1371/journal.pone.0041342,-9.326724217381951,2012
10.1371/journal.pone.0046448,11.673994173371652,2012
10.1371/journal.pone.0046449,-6.903235380736903,2012
10.1371/journal.pone.0038807,-25.36926555473332,2012
10.1371/journal.pone.0038808,-7.287374187650296,2012
10.1371/journal.pone.0041366,-8.10030944353997,2012
10.1371/journal.pone.0038813,-9.488267987771025,2012
10.1371/journal.pone.0036256,-11.049458999149834,2012
10.1371/journal.pone.0049054,5.378150065115602,2012
10.1371/journal.pone.0041377,-10.213136866688956,2012
10.1371/journal.pone.0041383,-8.723114735377658,2012
10.1371/journal.pone.0038834,-6.998789241537256,2012
10.1371/journal.pone.0036283,-7.410220129958248,2012
10.1371/journal.pone.0036287,-11.049458999149834,2012
10.1371/journal.pone.0043950,-10.6874040678152,2012
10.1371/journal.pone.0031193,-9.161186785384,2012
10.1371/journal.pmed.1001272,-7.4206955173426685,2012
10.1371/journal.pone.0031196,-9.55814098655148,2012
10.1371/journal.pone.0051793,-8.262102419608501,2012
10.1371/journal.pone.0041427,-8.995083925824792,2012
